HEIGHT BOY
10	21.70	22.30	23.50	24.40	25.70	26.30	28.70	31.50	32.50	35.30	37.50	41.00	43.30
11	23.70	24.60	26.10	27.20	29.00	29.80	33.00	36.80	38.00	41.00	43.20	46.80	49.42
12	26.80	28.00	29.80	31.10	33.40	34.40	37.80	41.50	42.50	45.50	47.60	51.20	54.04
13	31.50	32.80	34.90	36.30	38.40	39.30	42.50	46.00	47.10	50.00	52.10	55.80	58.20
14	34.80	36.20	38.00	39.30	41.20	42.10	45.10	48.40	49.60	52.40	54.50	57.90	60.40
15	37.50	38.60	40.30	41.60	43.60	44.30	47.20	50.50	51.60	54.23	56.30	59.50	62.00
16	39.20	40.30	42.00	43.20	45.10	46.00	49.00	52.10	53.20	55.60	57.50	60.70	62.90
17	40.00	41.20	43.00	44.10	45.90	46.70	49.60	52.80	53.80	56.20	57.80	61.00	63.00
18	40.30	41.40	43.20	44.40	46.30	47.00	50.00	53.10	54.10	56.60	58.40	61.40	63.10
19	41.40	42.30	43.90	45.00	47.00	47.70	50.50	53.60	54.50	57.00	58.80	61.00	63.00
20	41.00	42.08	43.70	45.00	46.80	47.50	50.40	53.40	54.30	56.60	58.10	60.50	62.38
21	40.60	41.74	43.40	44.60	46.30	47.00	50.00	53.06	54.00	56.30	58.00	60.50	62.40
22	40.40	41.50	43.40	44.50	46.30	47.00	49.80	53.00	54.00	56.40	58.00	60.50	62.30
