BOY 7 14 GRIL 7 12
176	56.6	50.3	44.0 	37.7	69.2	75.5
BOY 16 GRIL 14
143	35.3	31.4	27.4	23.5	43.1	47.0 
144	37.1	33.0 	28.8	24.7	45.3	49.4
145	38.3	34.0 	29.8	25.5	46.8	51.0 
146	38.3	34.1	29.8	25.6	46.9	51.1
147	39.1	34.7	30.4	26.0 	47.7	52.1
148	39.2	34.9	30.5	26.2	48.0 	52.3
149	40.1	35.7	31.2	26.8	49.1	53.5
150	40.8	36.2	31.7	27.2	49.8	54.4
151	41.6	37.0 	32.3	27.7	50.8	55.4
152	41.7	37.0 	32.4	27.8	50.9	55.6
153	42.7	37.9	33.2	28.4	52.1	56.9
154	43.2	38.4	33.6	28.8	52.8	57.6
155	43.8	39.0 	34.1	29.2	53.6	58.4
156	44.2	39.3	34.4	29.5	54.0 	58.9
157	45.0 	40.0 	35.0 	30.0 	55.0 	60.0 
158	45.5	40.5	35.4	30.4	55.7	60.7
159	46.2	41.0 	35.9	30.8	56.4	61.6
160	46.6	41.4	36.3	31.1	57.0 	62.2
161	47.2	41.9	36.7	31.4	57.6	62.9
162	48.1	42.7	37.4	32.0 	58.7	64.1
163	48.9	43.4	38.0 	32.6	59.7	65.2
164	49.6	44.1	38.6	33.1	60.6	66.1
165	50.0 	44.4	38.9	33.3	61.1	66.6
166	50.6	45.0 	39.3	33.7	61.8	67.4
167	51.5	45.8	40.0 	34.3	62.9	68.4
168	52.1	46.3	40.5	34.7	63.7	69.5
169	52.8	47.0 	41.1	35.2	64.6	70.4
170	53.3	47.4	41.4	35.5	65.1	71.0 
171	54.0 	48.0 	42.0 	36.0 	66.0 	72.0 
172	54.1	48.1	42.1	36.1	66.1	72.1
173	55.7	49.5	43.3	37.1	68.1	74.3
174	55.6	49.4	43.3	37.1	68.0 	74.2
175	56.3	50.0 	43.8	37.5	68.8	75.0 
176	57.1	50.7	44.4	38.0 	69.7	76.1
177	58.1	51.7	45.2	38.8	71.1	77.5
178	58.8	52.2	45.7	39.2	71.8	78.4
BOY 17 GRIL 15
143	39.3	35.0 	30.6	26.2	48.1	52.4
144	39.8	35.4	30.9	26.5	48.6	53.0 
145	39.8	35.4	30.9	26.5	48.6	53.0 
146	40.0 	35.5	31.1	26.6	48.8	53.3
147	40.7	36.2	31.6	27.1	49.7	54.2
148	41.3	36.7	32.1	27.5	50.5	55.1
149	42.0 	37.4	32.7	28.0 	51.4	56.0 
150	42.7	37.9	33.2	28.4	52.1	56.9
151	43.1	38.2	33.5	28.7	52.7	57.5
152	44.0 	39.1	34.2	29.3	53.8	58.7
153	44.1	39.2	34.3	29.4	53.9	58.8
154	44.4	39.4	34.5	29.6	54.2	59.2
155	44.8	39.8	34.9	30.0 	54.8	59.8
156	46.1	41.0 	35.8	30.7	56.3	61.4
157	46.3	41.1	36.0 	30.8	56.5	61.7
158	47.2	41.9	36.7	31.4	57.6	62.9
159	47.5	42.2	37.0 	31.7	58.1	63.4
160	48.1	42.7	37.4	32.0 	58.7	64.1
161	48.7	43.3	37.9	32.5	59.5	64.9
162	48.9	43.4	38.0 	32.6	59.7	65.2
163	49.4	43.9	38.4	32.9	60.4	65.9
164	50.3	44.7	39.1	33.5	61.5	67.1
165	50.6	45.0 	39.3	33.7	62.8	67.6
166	50.8	45.1	39.5	33.8	62.0 	67.7
167	51.9	46.2	40.4	34.6	63.5	69.2
168	53.3	47.4	41.4	35.5	65.1	71.0 
169	53.5	47.5	41.6	35.6	65.3	71.3
170	54.7	48.6	42.6	36.5	66.9	73.0 
171	54.8	48.7	42.6	36.5	67.0 	73.1
172	55.4	49.3	43.1	37.0 	67.8	73.9
173	56.6	50.3	44.0 	37.7	69.2	75.5
174	56.7	50.4	44.1	37.8	69.3	75.6
175	57.2	50.9	44.5	38.2	70.0 	76.3
176	58.0 	51.5	45.1	38.6	70.8	72.3
177	58.5	52.0 	45.5	39.0 	71.5	78.0 
178	59.0	52.7 	46.0	39.5 	72.0	79.0 
179	59.9	53.3	46.6	40.0 	73.3	79.9
180	60.6	53.8	47.1	40.4	74.0 	80.8
BOY 18 22 GIRL 16 22
145	42.1	37.4	32.8	28.1	51.5	56.2
146	42.3	37.6	32.9	28.2	51.7	56.4
147	42.9	38.2	33.4	28.6	52.5	57.2
148	43.7	38.8	34.0	29.1	53.4	58.2
149	44.0	39.1	34.2	29.3	53.8	58.7
150	44.7	39.8	34.8	29.8	54.7	59.6
151	45.1	40.1	35.1	30.1	55.1	60.1
152	45.6	40.6	35.5	30.4	55.8	60.8
153	46.2	41.0	35.9	30.8	56.4	61.6
154	46.5	41.4	36.2	31.0	56.9	62.0
155	47.1	41.8	36.6	31.4	57.5	62.8
156	47.5	42.2	37.0	31.7	58.1	63.4
157	48.2	42.8	37.5	32.1	58.9	64.2
158	48.8	43.4	37.9	32.5	59.6	65.0
159	49.0	43.5	38.1	32.6	59.8	65.3
160	49.5	44.0	38.5	33.0	60.5	66.0
161	50.0	44.4	38.9	33.3	61.6	66.6
162	50.8	45.1	39.5	33.8	62.0	67.7
163	51.1	45.4	39.8	34.1	62.5	68.2
164	51.8	46.0	40.3	34.5	63.3	69.0
165	52.1	46.3	40.5	34.7	63.7	69.5
166	53.0	47.1	41.2	35.3	64.8	70.7
167	53.4	47.4	41.5	35.6	65.2	71.2
168	54.0	48.0	42.0	36.0	66.0	72.0
169	54.5	48.5	42.4	36.4	66.7	72.7
170	55.3	49.1	43.0	36.8	67.5	73.7
171	55.8	49.6	43.4	37.2	68.2	74.4
172	56.3	50.1	43.8	37.6	68.9	75.1
173	57.2	50.8	44.5	38.1	69.9	76.2
174	58.3	51.8	45.4	39.2	71.3	77.8
175	58.8	52.2	45.7	39.2	71.8	78.4
176	59.4	52.8	46.2	39.6	72.6	79.2
177	60.1	53.4	46.8	40.1	73.5	80.2
178	60.4	53.7	47.0	40.3	73.8	80.5
179	62.5	55.5	48.6	41.6	76.3	83.3
