170.0	170.9	53.3
171.0	171.9	54.0
172.0	172.9	54.1
173.0	173.9	55.7
174.0	174.9	55.6
175.0	175.9	56.3
176.0	176.9	57.1
177.0	177.9	58.1
178.0	178.9	58.8
GIRL	15	15
143.0	143.9	39.3
144.0	144.9	39.8
145.0	145.9	39.8
146.0	146.9	40.0
147.0	147.9	40.7
148.0	148.9	41.3
149.0	149.9	42.0
150.0	150.9	42.7
151.0	151.9	43.1
152.0	152.9	44.0
153.0	153.9	44.1
154.0	154.9	44.4
155.0	155.9	44.8
156.0	156.9	46.1
157.0	157.9	46.3
158.0	158.9	47.2
159.0	159.9	47.5
160.0	160.9	48.1
161.0	161.9	48.7
162.0	162.9	48.9
163.0	163.9	49.4
164.0	164.9	50.3
165.0	165.9	50.6
166.0	166.9	50.8
167.0	167.9	51.9
168.0	168.9	53.3
169.0	169.9	53.5
170.0	170.9	54.7
171.0	171.9	54.8
172.0	172.9	55.4
173.0	173.9	56.6
174.0	174.9	56.7
175.0	175.9	57.2
176.0	176.9	58.0
177.0	177.9	58.5
178.0	178.9	59.0
179.0	179.9	59.9
180.0	180.9	60.6
GIRL	16	22
145.0	145.9	42.1
146.0	146.9	42.3
147.0	147.9	42.9
148.0	148.9	43.7
149.0	149.9	44.0
150.0	150.9	44.7
151.0	151.9	45.1
152.0	152.9	45.6
153.0	153.9	46.2
154.0	154.9	46.5
155.0	155.9	47.1
156.0	156.9	47.5
157.0	157.9	48.2
158.0	158.9	48.8
159.0	159.9	49.0
160.0	160.9	49.5
161.0	161.9	50.0
162.0	162.9	50.8
163.0	163.9	51.1
164.0	164.9	51.8
165.0	165.9	52.1
166.0	166.9	53.0
167.0	167.9	53.4
168.0	168.9	54.0
169.0	169.9	54.5
170.0	170.9	55.3
171.0	171.9	55.8
172.0	172.9	56.3
173.0	173.9	57.2
174.0	174.9	58.3
175.0	175.9	58.8
176.0	176.9	59.4
177.0	177.9	60.1
178.0	178.9	60.4
179.0	179.9	62.5
